,min,minDate,max,maxDate,value
ADANIENT,1017.45,03-Feb-2023,4190,21-Dec-2022,2034.8
ADANIPORTS,395.1,03-Feb-2023,987.85,20-Sep-2022,596.9
APOLLOHOSP,3361.55,26-May-2022,5016.55,14-Mar-2022,4372
ASIANPAINT,2560,17-Jun-2022,3582.9,28-Sep-2022,2763.3
AXISBANK,618.25,23-Jun-2022,970,04-Jan-2023,875.9
BAJAJ-AUTO,3125,07-Mar-2022,4131.75,01-Sep-2022,3881.85
BAJFINANCE,5220,17-Jun-2022,7778,22-Sep-2022,6264.65
BAJAJFINSV,1072.72,01-Jul-2022,1844,13-Sep-2022,1366.9
BPCL,288.05,20-Oct-2022,398.8,21-Apr-2022,331.9
BHARTIARTL,628.75,14-Jul-2022,860.55,22-Nov-2022,777
BRITANNIA,3050,08-Mar-2022,4664,07-Feb-2023,4610.2
CIPLA,888.15,24-Feb-2022,1185.25,01-Nov-2022,1029
COALINDIA,149,24-Feb-2022,263.4,09-Nov-2022,215.1
DIVISLAB,2740.1,07-Feb-2023,4640.8,28-Apr-2022,2798.95
DRREDDY,3654,04-Mar-2022,4645,02-Nov-2022,4480
EICHERMOT,2159.55,08-Mar-2022,3889.65,01-Nov-2022,3225.2
GRASIM,1276.6,17-Jun-2022,1839.5,07-Dec-2022,1626.2
HCLTECH,877.35,15-Jul-2022,1215,17-Mar-2022,1148.1
HDFCBANK,1271.6,17-Jun-2022,1722.1,04-Apr-2022,1657
HDFCLIFE,473.7,06-Feb-2023,623.7,07-Feb-2022,499.65
HEROMOTOCO,2146.85,08-Mar-2022,2938.6,18-Aug-2022,2607.5
HINDALCO,308.95,20-Jun-2022,636,29-Mar-2022,436.15
HINDUNILVR,1901.55,08-Mar-2022,2741.6,09-Dec-2022,2582.2
HDFC,2026,17-Jun-2022,2933.8,04-Apr-2022,2687.6
ICICIBANK,642.15,07-Mar-2022,958.2,30-Nov-2022,855.9
ITC,207,24-Feb-2022,388.2,06-Feb-2023,374.5
INDUSINDBK,763.2,23-Jun-2022,1275.8,20-Sep-2022,1144.4
INFY,1355,26-Sep-2022,1923.3,17-Mar-2022,1600.95
JSWSTEEL,520.05,26-May-2022,790,19-Apr-2022,727.55
KOTAKBANK,1631,30-Jun-2022,1997.55,18-Nov-2022,1771.9
LT,1456.35,20-Jun-2022,2297.65,20-Jan-2023,2149.35
M&M,671.15,08-Mar-2022,1391.95,03-Feb-2023,1370.8
MARUTI,6536.55,08-Mar-2022,9769,31-Oct-2022,8782.55
NTPC,123.65,24-Feb-2022,182.95,01-Nov-2022,164.95
NESTLEIND,16000,19-May-2022,21050,24-Oct-2022,18942.5
ONGC,119.85,06-Jul-2022,194.95,08-Mar-2022,143.95
POWERGRID,186.35,26-Sep-2022,248.35,10-May-2022,212.55
RELIANCE,2180,08-Mar-2022,2856.15,29-Apr-2022,2351.5
SBILIFE,1003.5,08-Mar-2022,1340.35,08-Sep-2022,1159.8
SBIN,425,08-Mar-2022,629.55,15-Dec-2022,549.1
SUNPHARMA,789.9,17-Jun-2022,1072.15,30-Jan-2023,1001.9
TCS,2926.1,26-Sep-2022,3854.1,16-Feb-2022,3534.3
TATACONSUM,650.2,07-Mar-2022,861.15,14-Sep-2022,722
TATAMOTORS,366.2,12-May-2022,511.5,17-Feb-2022,438.05
TATASTEEL,82.7,23-Jun-2022,138.67,06-Apr-2022,111.85
TECHM,943.7,17-Jun-2022,1574.95,25-Mar-2022,1018.2
TITAN,1825.05,01-Jul-2022,2791,31-Oct-2022,2478.7
UPL,607.5,23-Jun-2022,848,04-May-2022,714
ULTRACEMCO,5157.05,17-Jun-2022,7548.95,10-Feb-2022,7234.7
WIPRO,372.4,17-Oct-2022,616,21-Mar-2022,406.25
